Nr;Data i czas;PRZEWODNOSC N1 [uS/cm] (13);TEMPERATURA [°C] (14);PRZEWODNOSC N2 [uS/cm] (15);PRZEWODNOSC N3 [uS/cm] (16)
1126;2023-06-12 14:34:22,1;285,0587;109,1687;288,5956;309,4675
1127;2023-06-12 14:34:22,6;285,0244;109,1125;288,4483;309,3381
1128;2023-06-12 14:34:23,1;285,0549;109,1313;288,2298;309,4448
1129;2023-06-12 14:34:23,6;284,9352;109,2;287,9408;309,9768
1130;2023-06-12 14:34:24,1;284,9617;109,1875;288,127;310,1922
1131;2023-06-12 14:34:24,6;284,9868;109,1375;287,8159;310,6845
1132;2023-06-12 14:34:25,1;284,9922;109,1063;288,0888;310,6146
1133;2023-06-12 14:34:25,6;285,3151;109,15;287,7394;311,1174
1134;2023-06-12 14:34:26,1;285,7671;109,1938;287,3543;311,2473
1135;2023-06-12 14:34:26,6;285,4337;109,1875;287,4446;311,4784
1136;2023-06-12 14:34:27,1;285,4695;109,1812;287,5749;311,356
1137;2023-06-12 14:34:27,6;285,3526;109,125;287,5496;311,0612
1138;2023-06-12 14:34:28,1;285,1753;109,125;287,5253;309,1259
1139;2023-06-12 14:34:28,6;285,2597;109,1812;287,5107;308,5281
1140;2023-06-12 14:34:29,1;285,2407;109,1875;287,8702;308,299
1141;2023-06-12 14:34:29,6;285,23;109,1375;287,8565;308,6631
1142;2023-06-12 14:34:30,1;285,0593;109,1063;288,1753;308,7425
1143;2023-06-12 14:34:30,6;285,0003;109,1375;288,1871;309,0149
1144;2023-06-12 14:34:31,1;285,0212;109,2;288,0728;308,9632
1145;2023-06-12 14:34:31,6;284,9935;109,175;287,9765;308,8699
1146;2023-06-12 14:34:32,1;284,7546;109,1313;288,0784;309,0309
1147;2023-06-12 14:34:32,6;284,9011;109,1063;287,4796;309,1841
1148;2023-06-12 14:34:33,1;285,1096;109,125;287,5666;309,5092
1149;2023-06-12 14:34:33,6;285,0296;109,1563;287,8301;309,3421
1150;2023-06-12 14:34:34,1;284,8694;109,1938;287,8242;309,1852
1151;2023-06-12 14:34:34,6;284,6673;109,175;287,7307;309,2771
1152;2023-06-12 14:34:35,1;284,5023;109,1187;287,8932;309,5104
1153;2023-06-12 14:34:35,6;284,6767;109,1063;287,7578;309,5376
1154;2023-06-12 14:34:36,1;284,9445;109,2;287,7369;309,2413
1155;2023-06-12 14:34:36,6;284,9332;109,1812;287,7352;308,665
1156;2023-06-12 14:34:37,1;284,8981;109,125;287,1807;307,8909
1157;2023-06-12 14:34:37,6;284,9505;109,15;287,4508;307,3274
1158;2023-06-12 14:34:38,1;284,9686;109,1938;287,053;308,0607
1159;2023-06-12 14:34:38,6;284,7507;109,1313;287,6466;308,5196
1160;2023-06-12 14:34:39,1;285,0716;109,125;287,0814;308,1962
1161;2023-06-12 14:34:39,6;285,0346;109,1375;287,6321;307,2335
1162;2023-06-12 14:34:40,1;285,0007;109,2;287,4965;306,6726
1163;2023-06-12 14:34:40,6;284,9232;109,1563;287,4789;306,9377
1164;2023-06-12 14:34:41,1;284,9902;109,1187;287,6432;307,6464
1165;2023-06-12 14:34:41,6;284,7672;109,1938;287,4236;307,8794
1166;2023-06-12 14:34:42,1;284,9886;109,1625;287,545;308,4138
1167;2023-06-12 14:34:42,6;285,1;109,1063;287,2832;308,8241
1168;2023-06-12 14:34:43,1;284,9926;109,1687;287,3007;308,2313
1169;2023-06-12 14:34:43,6;285,0604;109,1938;286,9029;307,3022
1170;2023-06-12 14:34:44,1;285,3087;109,1313;287,24;306,7309
1171;2023-06-12 14:34:44,6;285,3833;109,1187;286,5959;307,3143
1172;2023-06-12 14:34:45,1;284,9942;109,125;287,103;308,3645
1173;2023-06-12 14:34:45,6;284,9743;109,2;286,8764;307,6388
1174;2023-06-12 14:34:46,1;284,8866;109,1563;286,9101;306,9312
1175;2023-06-12 14:34:46,6;285,0192;109,1187;286,9925;305,9536
